hassaniya,français,categorie,exemple,source
jedati,Ma grand-mère,famille,On dit 'jedati' pour ma grand-mère.,Fatimetou Nemane — locutrice native hassaniya
rassi yoja3ni,J'ai mal à la tête,sante,On dit 'rassi yoja3ni' pour j'ai mal à la tête.,Fatimetou Nemane — locutrice native hassaniya
kershi tewja3ni,J'ai mal au ventre,sante,On dit 'kershi tewja3ni' pour j'ai mal au ventre.,Fatimetou Nemane — locutrice native hassaniya
8ahri yewja3ni,J'ai mal au dos,sante,On dit '8ahri yewja3ni' pour j'ai mal au dos.,Fatimetou Nemane — locutrice native hassaniya
ane meri6a,Je suis malade,sante,On dit 'ane meri6a' pour je suis malade.,Fatimetou Nemane — locutrice native hassaniya
3dt eshbeh,Je me sens mieux,sante,On dit '3dt eshbeh' pour je me sens mieux.,Fatimetou Nemane — locutrice native hassaniya
ane vassl v dwe,J'ai besoin de médicaments,sante,On dit 'ane vassl v dwe' pour j'ai besoin de médicaments.,Fatimetou Nemane — locutrice native hassaniya
3andi 7assasiye,J'ai une allergie,sante,On dit '3andi 7assasiye' pour j'ai une allergie.,Fatimetou Nemane — locutrice native hassaniya
ane mani s7i7a,Je suis enceinte,sante,On dit 'ane mani s7i7a' pour je suis enceinte.,Fatimetou Nemane — locutrice native hassaniya
ane medguge,J'ai été piqué(e),sante,On dit 'ane medguge' pour j'ai été piqué(e).,Fatimetou Nemane — locutrice native hassaniya
ane mejru7a,J'ai une blessure,sante,On dit 'ane mejru7a' pour j'ai une blessure.,Fatimetou Nemane — locutrice native hassaniya
4e mela7,C'est trop salé,nourriture,On dit '4e mela7' pour c'est trop salé.,Fatimetou Nemane — locutrice native hassaniya
4e 7lou,C'est trop sucré,nourriture,On dit '4e 7lou' pour c'est trop sucré.,Fatimetou Nemane — locutrice native hassaniya
ane manwkel l7am,Je suis végétarien(ne),nourriture,On dit 'ane manwkel l7am' pour je ne mange pas de viande.,Fatimetou Nemane — locutrice native hassaniya
manokel l5enzir,Je ne mange pas de porc,nourriture,On dit 'manokel l5enzir' pour je ne mange pas de porc.,Fatimetou Nemane — locutrice native hassaniya
ndor l7am,Je veux de la viande,nourriture,On dit 'ndor l7am' pour je veux de la viande.,Fatimetou Nemane — locutrice native hassaniya
ndor l7out,Je veux du poisson,nourriture,On dit 'ndor l7out' pour je veux du poisson.,Fatimetou Nemane — locutrice native hassaniya
4e lberd,C'est froid,nourriture,On dit '4e lberd' pour c'est froid.,Fatimetou Nemane — locutrice native hassaniya
7amih 7gllah,Réchauffe-le s'il te plaît,nourriture,On dit '7amih 7gllah' pour réchauffe-le s'il te plaît.,Fatimetou Nemane — locutrice native hassaniya
6assa moss5a,L'assiette est sale,nourriture,On dit '6assa moss5a' pour l'assiette est sale.,Fatimetou Nemane — locutrice native hassaniya
nor shi Thani,Je veux autre chose,nourriture,On dit 'nor shi Thani' pour je veux autre chose.,Fatimetou Nemane — locutrice native hassaniya
verri à droite,Tourne à droite,transport,On dit 'verri à droite' pour tourne à droite.,Fatimetou Nemane — locutrice native hassaniya
verri à gauche,Tourne à gauche,transport,On dit 'verri à gauche' pour tourne à gauche.,Fatimetou Nemane — locutrice native hassaniya
4e b3id ?,C'est loin ?,transport,On dit '4e b3id ?' pour c'est loin ?,Fatimetou Nemane — locutrice native hassaniya
4e greyeb mn hun,C'est près d'ici,transport,On dit '4e greyeb mn hun' pour c'est près d'ici.,Fatimetou Nemane — locutrice native hassaniya
ane wa9d,Je suis perdu(e),transport,On dit 'ane wa9d' (homme) ou 'wa9de' (femme) pour je suis perdu(e).,Fatimetou Nemane — locutrice native hassaniya
kem mn lwa9t ?,Combien de temps ?,transport,On dit 'kem mn lwa9t ?' pour combien de temps.,Fatimetou Nemane — locutrice native hassaniya
wegev hok,Arrête-toi là-bas,transport,On dit 'wegev hok' pour arrête-toi là-bas.,Fatimetou Nemane — locutrice native hassaniya
mshi bl3ajle,Roule plus vite,transport,On dit 'mshi bl3ajle' pour roule plus vite.,Fatimetou Nemane — locutrice native hassaniya
mshi bshor,Roule plus doucement,transport,On dit 'mshi bshor' pour roule plus doucement.,Fatimetou Nemane — locutrice native hassaniya
3andi 7ajz,J'ai une réservation,hotel,On dit '3andi 7ajz' pour j'ai une réservation.,Fatimetou Nemane — locutrice native hassaniya
ndor beyt,Je veux une chambre,hotel,On dit 'ndor beyt' pour je veux une chambre.,Fatimetou Nemane — locutrice native hassaniya
l7ess yassr,C'est trop bruyant,hotel,On dit 'l7ess yassr' pour c'est trop bruyant.,Fatimetou Nemane — locutrice native hassaniya
climatisation mahi sal7a,La climatisation ne marche pas,hotel,On dit 'climatisation mahi sal7a' pour la climatisation ne marche pas.,Fatimetou Nemane — locutrice native hassaniya
mayhem 7amye mahi 5algue,Il n'y a pas d'eau chaude,hotel,On dit 'mayhem 7amye mahi 5algue' pour il n'y a pas d'eau chaude.,Fatimetou Nemane — locutrice native hassaniya
ndor nbedel lbeyt,Je veux changer de chambre,hotel,On dit 'ndor nbedel lbeyt' pour je veux changer de chambre.,Fatimetou Nemane — locutrice native hassaniya
sbou7 ey wa9t ?,À quelle heure est le petit déjeuner ?,hotel,On dit 'sbou7 ey wa9t ?' pour à quelle heure est le petit déjeuner.,Fatimetou Nemane — locutrice native hassaniya
ane mashe sb7,Je pars demain,hotel,On dit 'ane mashe sb7' pour je pars demain.,Fatimetou Nemane — locutrice native hassaniya
lbeyt mahu massgoul,La chambre est sale,hotel,On dit 'lbeyt mahu massgoul' pour la chambre est sale.,Fatimetou Nemane — locutrice native hassaniya
4e muhuwen ?,C'est en solde ?,shopping,On dit '4e muhuwen ?' pour c'est en solde ?,Fatimetou Nemane — locutrice native hassaniya
3andkum lewn o5ar ?,Avez-vous une autre couleur ?,shopping,On dit '3andkum lewn o5ar ?' pour avez-vous une autre couleur ?,Fatimetou Nemane — locutrice native hassaniya
4e kbit 7att,C'est trop grand,shopping,On dit '4e kbit 7att' pour c'est trop grand.,Fatimetou Nemane — locutrice native hassaniya
4e s9ayr 7att,C'est trop petit,shopping,On dit '4e s9ayr 7att' pour c'est trop petit.,Fatimetou Nemane — locutrice native hassaniya
ndor nrou9ou,Je veux l'essayer,shopping,On dit 'ndor nrou9ou' pour je veux l'essayer.,Fatimetou Nemane — locutrice native hassaniya
4e degdeg,C'est cassé,shopping,On dit '4e degdeg' pour c'est cassé.,Fatimetou Nemane — locutrice native hassaniya
ndor ta3wi6,Je veux un remboursement,shopping,On dit 'ndor ta3wi6' pour je veux un remboursement.,Fatimetou Nemane — locutrice native hassaniya
ha4i ljewde yak le Zeyne ?,C'est une bonne qualité ?,shopping,On dit 'ha4i ljewde yak le Zeyne ?' pour c'est une bonne qualité ?,Fatimetou Nemane — locutrice native hassaniya
bouye,Mon père,famille,On dit 'bouye' ou 'waldi'.,Fatimetou Nemane — locutrice native hassaniya
oumi,Ma mère,famille,On dit 'oumi' ou 'waledti'.,Fatimetou Nemane — locutrice native hassaniya
rajli,Mon mari,famille,On dit 'rajli' ou 'huwe'. Les femmes mauritaniennes n'aiment pas appeler leur mari par son prénom.,Fatimetou Nemane — locutrice native hassaniya
sahra mnyn ?,Où est le désert ?,tourisme,On dit 'sahra mnyn ?',Fatimetou Nemane — locutrice native hassaniya
ndor nshov noujoum,Je veux voir les étoiles,tourisme,On dit 'ndor nshov noujoum'.,Fatimetou Nemane — locutrice native hassaniya
4e l7aywan smou ?,C'est quoi cet animal ?,tourisme,On dit '4e l7aywan smou ?',Fatimetou Nemane — locutrice native hassaniya
lywm 7ami 7att,Il fait très chaud aujourd'hui,tourisme,On dit 'lywm 7ami 7att'.,Fatimetou Nemane — locutrice native hassaniya
ndor nzour chinguitti,Je veux visiter Chinguetti,tourisme,On dit 'ndor nzour chinguitti'.,Fatimetou Nemane — locutrice native hassaniya
lb7ar lalya9out,La mer est belle,tourisme,On dit 'lb7ar lalya9out'.,Fatimetou Nemane — locutrice native hassaniya
ndor nerkeb jmel,Je veux faire du chameau,tourisme,On dit 'ndor nerkeb jmel'.,Fatimetou Nemane — locutrice native hassaniya
ha4e 5a6ir ?,C'est dangereux ?,tourisme,On dit 'ha4e 5a6ir ?',Fatimetou Nemane — locutrice native hassaniya
mnyn 9ouroub shemss ?,Où est le coucher du soleil ?,tourisme,On dit 'mnyn 9ouroub shemss ?',Fatimetou Nemane — locutrice native hassaniya
ndor soura m3ak,Je veux une photo avec toi,tourisme,On dit 'ndor soura m3ak'.,Fatimetou Nemane — locutrice native hassaniya
code WiFi shnhou ?,Quel est le mot de passe WiFi ?,technologie,On dit 'code WiFi shnhou ?',Fatimetou Nemane — locutrice native hassaniya
telefouni deshargatt,Mon téléphone est mort,technologie,On dit 'telefouni deshargatt'.,Fatimetou Nemane — locutrice native hassaniya
ndor nbedel telefouni,Je veux charger mon téléphone,technologie,On dit 'ndor nbedel telefouni'.,Fatimetou Nemane — locutrice native hassaniya
gb8ouli soura,Prenez une photo de moi,technologie,On dit 'gb8ouli soura'.,Fatimetou Nemane — locutrice native hassaniya
meshouli soura,Envoyez-moi la photo,technologie,On dit 'meshouli soura'.,Fatimetou Nemane — locutrice native hassaniya
ra9mkum shnhou ?,Quel est ton numéro ?,technologie,On dit 'ra9mkum shnhou ?',Fatimetou Nemane — locutrice native hassaniya
ma3andi réseau,Je n'ai pas de réseau,technologie,On dit 'ma3andi réseau'.,Fatimetou Nemane — locutrice native hassaniya
telefouni wa9de,Mon téléphone est perdu,technologie,On dit 'telefouni wa9de'.,Fatimetou Nemane — locutrice native hassaniya
mneyn ybi3ou telefounatt ?,Où est la boutique de téléphone ?,technologie,On dit 'mneyn ybi3ou telefounatt ?',Fatimetou Nemane — locutrice native hassaniya
ndor neshri carte SIM,Je veux acheter une carte SIM,technologie,On dit 'ndor neshri carte SIM'.,Fatimetou Nemane — locutrice native hassaniya
lmssid mnyn ?,Où est la mosquée ?,religion,On dit 'lmssid mnyn ?',Fatimetou Nemane — locutrice native hassaniya
n7taram diyantkum,Je respecte votre religion,religion,On dit 'n7taram diyantkum'.,Fatimetou Nemane — locutrice native hassaniya
sle ma9boule,Bonne prière,religion,On dit 'sle ma9boule'.,Fatimetou Nemane — locutrice native hassaniya
ramadan moubarak,Ramadan Moubarak,religion,On dit 'ramadan moubarak'.,Fatimetou Nemane — locutrice native hassaniya
Hadhe halal ?,C'est halal ?,religion,On dit 'Hadhe halal ?',Fatimetou Nemane — locutrice native hassaniya
ndor net3alem l3arabiye,Je veux apprendre l'arabe,religion,On dit 'ndor net3alem l3arabiye'.,Fatimetou Nemane — locutrice native hassaniya
ha4u te9alid zeynin,C'est une belle tradition,religion,On dit 'ha4u te9alid zeynin'.,Fatimetou Nemane — locutrice native hassaniya
3aweni mn va6lak,Aide-moi s'il te plaît,religion,On dit '3aweni mn va6lak'.,Fatimetou Nemane — locutrice native hassaniya
Allah yjazik bl7ssan,Que Dieu te récompense,religion,On dit 'Allah yjazik bl7ssan'.,Fatimetou Nemane — locutrice native hassaniya
nte 3a9l tbarkALLah,Tu es très intelligent(e),compliments,On dit 'nte 3a9l tbarkALLah'.,Fatimetou Nemane — locutrice native hassaniya
tetkelem blvaranssiye zeyne,Tu parles très bien français,compliments,On dit 'tetkelem blvaranssiye zeyne'.,Fatimetou Nemane — locutrice native hassaniya
nte shouja3,Tu es très courageux/courageuse,compliments,On dit 'nte shouja3' (homme) ou 'shouja3a' (femme).,Fatimetou Nemane — locutrice native hassaniya
ha4i 3a2ile zeyne,C'est une belle famille,compliments,On dit 'ha4i 3a2ile zeyne'.,Fatimetou Nemane — locutrice native hassaniya
dewltkoum zeyne,Votre pays est magnifique,compliments,On dit 'dewltkoum zeyne'.,Fatimetou Nemane — locutrice native hassaniya
lmouritaniyin kourama2,Les mauritaniens sont généreux,compliments,On dit 'lmouritaniyin kourama2'.,Fatimetou Nemane — locutrice native hassaniya
zeyne 3andi moussi9tkum,J'adore votre musique,compliments,On dit 'zeyne 3andi moussi9tkum'.,Fatimetou Nemane — locutrice native hassaniya
63amkum zeyn,Votre cuisine est incroyable,compliments,On dit '63amkum zeyn'.,Fatimetou Nemane — locutrice native hassaniya
zeyn 3andi hun,Je me sens bien ici,compliments,On dit 'zeyn 3andi hun'.,Fatimetou Nemane — locutrice native hassaniya
ndor no3a bl3ajle,Je veux me réveiller tôt,quotidien,On dit 'ndor no3a bl3ajle'.,Fatimetou Nemane — locutrice native hassaniya
ane mtardi,Je suis en retard,quotidien,On dit 'ane mtardi' (homme) ou 'mtardye' (femme).,Fatimetou Nemane — locutrice native hassaniya
sh lahi n3adlou lywm ?,Qu'est-ce qu'on fait aujourd'hui ?,quotidien,On dit 'sh lahi n3adlou lywm ?',Fatimetou Nemane — locutrice native hassaniya
ndor nesstara7,Je veux me reposer,quotidien,On dit 'ndor nesstara7'.,Fatimetou Nemane — locutrice native hassaniya
4e megvoul ?,C'est fermé ?,quotidien,On dit '4e megvoul ?',Fatimetou Nemane — locutrice native hassaniya
4e mevtou7 ?,C'est ouvert ?,quotidien,On dit '4e mevtou7 ?',Fatimetou Nemane — locutrice native hassaniya
tegvlou eynte ?,À quelle heure vous fermez ?,quotidien,On dit 'tegvlou eynte ?',Fatimetou Nemane — locutrice native hassaniya
ndor nerja3 seb7,Je reviendrai demain,quotidien,On dit 'ndor nerja3 seb7'.,Fatimetou Nemane — locutrice native hassaniya
ane 3ajlane,C'est urgent,quotidien,On dit 'ane 3ajlane'.,Fatimetou Nemane — locutrice native hassaniya
ndor moussa3ade,J'ai besoin d'aide,quotidien,On dit 'ndor moussa3ade'.,Fatimetou Nemane — locutrice native hassaniya
s7ab jaye ?,Il va pleuvoir ?,meteo,On dit 's7ab jaye ?',Fatimetou Nemane — locutrice native hassaniya
new mregeb,C'est nuageux,meteo,On dit 'new mregeb'.,Fatimetou Nemane — locutrice native hassaniya
jri7a mtine,Le vent est fort,meteo,On dit 'jri7a mtine'.,Fatimetou Nemane — locutrice native hassaniya
leyle lgemra 5algue,C'est une belle nuit,meteo,On dit 'leyle lgemra 5algue'.,Fatimetou Nemane — locutrice native hassaniya
leyle 8awye,Le ciel est étoilé,meteo,On dit 'leyle 8awye'.,Fatimetou Nemane — locutrice native hassaniya
leyle 3adt m8alme,Il fait nuit,meteo,On dit 'leyle 3adt m8alme'.,Fatimetou Nemane — locutrice native hassaniya
shemss mkinhe 6al3ett,Le soleil se lève,meteo,On dit 'shemss mkinhe 6al3ett'.,Fatimetou Nemane — locutrice native hassaniya
ha4e l5riv,C'est l'hivernage,meteo,On dit 'ha4e l5riv'.,Fatimetou Nemane — locutrice native hassaniya
jri7a jatt,La tempête arrive,meteo,On dit 'jri7a jatt'.,Fatimetou Nemane — locutrice native hassaniya
ihar mahu ma39oul,Quelle belle journée !,meteo,On dit 'ihar mahu ma39oul'.,Fatimetou Nemane — locutrice native hassaniya
sarave mneyn,Où est le distributeur ?,argent,On dit 'sarave mneyn'.,Fatimetou Nemane — locutrice native hassaniya
ndor lbedile,Je veux changer de l'argent,argent,On dit 'ndor lbedile'.,Fatimetou Nemane — locutrice native hassaniya
4e kemel bkem ?,C'est combien au total ?,argent,On dit '4e kemel bkem ?',Fatimetou Nemane — locutrice native hassaniya
toedoe degdig ?,Vous rendez la monnaie ?,argent,On dit 'toedoe degdig ?',Fatimetou Nemane — locutrice native hassaniya
ane 5alasst,J'ai payé,argent,On dit 'ane 5alasst'.,Fatimetou Nemane — locutrice native hassaniya
4e kadou ?,C'est gratuit ?,argent,On dit '4e kadou ?',Fatimetou Nemane — locutrice native hassaniya
ma3andi lva8a lkavye,Je n'ai pas assez d'argent,argent,On dit 'ma3andi lva8a lkavye'.,Fatimetou Nemane — locutrice native hassaniya
se3er thabet ?,Le prix est fixe ?,argent,On dit 'se3er thabet ?',Fatimetou Nemane — locutrice native hassaniya
3andkum recu ?,Vous faites des reçus ?,argent,On dit '3andkum recu ?',Fatimetou Nemane — locutrice native hassaniya
